set_name,instance_name,nodes,arcs,k_zero,density,scenarios,budget,policies,solver,m_sym,g_sym,subsolver,objective,unbounded,optimal,partition,cuts_rounds,cuts_added,gap,avg_cbtime,avg_sptime,time,empirical_optimal_ratio,empirical_suboptimal_ratio,best_optimal,best_objective
layer,layer-102_5-10_0,102,1640,5,0.16,10,5,1,ENUMERATION,0,-1,NONE,819.0,NOT_UNBOUNDED,OPTIMAL,0-0-0-0-0-0-0-0-0-0,0,0,-1.0,0.0,0.0,15450.0,1.0,1.0,819.0,819.0
layer,layer-102_5-10_0,102,1640,5,0.16,10,5,2,ENUMERATION,0,-1,NONE,863.000001,NOT_UNBOUNDED,NOT_OPTIMAL,0-0-1-1-0-0-0-1-1-0,0,0,-1.0,0.0,0.0,3600000.0,-1.0,1.0,-1.0,863.0
layer,layer-102_5-10_0,102,1640,5,0.16,10,5,3,ENUMERATION,0,-1,NONE,863.0,NOT_UNBOUNDED,NOT_OPTIMAL,0-0-0-1-0-0-1-2-1-2,0,0,-1.0,0.0,0.0,3600000.0,-1.0,1.0,-1.0,863.0
layer,layer-102_5-10_1,102,1640,5,0.16,10,5,1,ENUMERATION,0,-1,NONE,828.0,NOT_UNBOUNDED,OPTIMAL,0-0-0-0-0-0-0-0-0-0,0,0,-1.0,0.0,0.0,3463.0,1.0,1.0,828.0,828.0
layer,layer-102_5-10_1,102,1640,5,0.16,10,5,2,ENUMERATION,0,-1,NONE,867.000001,NOT_UNBOUNDED,NOT_OPTIMAL,0-0-0-1-1-0-0-0-1-1,0,0,-1.0,0.0,0.0,3600000.0,-1.0,1.0,-1.0,867.0
layer,layer-102_5-10_1,102,1640,5,0.16,10,5,3,ENUMERATION,0,-1,NONE,841.002149,NOT_UNBOUNDED,NOT_OPTIMAL,0-0-0-0-1-1-1-0-2-1,0,0,-1.0,0.0,0.0,3600000.0,-1.0,1.0,-1.0,841.0
layer,layer-102_5-10_2,102,1640,5,0.16,10,5,1,ENUMERATION,0,-1,NONE,832.000001,NOT_UNBOUNDED,OPTIMAL,0-0-0-0-0-0-0-0-0-0,0,0,-1.0,0.0,0.0,4837.0,1.0,1.0,832.0,832.0
layer,layer-102_5-10_2,102,1640,5,0.16,10,5,2,ENUMERATION,0,-1,NONE,867.0,NOT_UNBOUNDED,NOT_OPTIMAL,0-1-0-0-1-1-1-0-0-1,0,0,-1.0,0.0,0.0,3600000.0,-1.0,1.0,-1.0,867.0
layer,layer-102_5-10_2,102,1640,5,0.16,10,5,3,ENUMERATION,0,-1,NONE,841.00499,NOT_UNBOUNDED,NOT_OPTIMAL,0-0-0-0-1-1-0-1-2-1,0,0,-1.0,0.0,0.0,3600000.0,-1.0,1.0,-1.0,841.0
layer,layer-102_5-10_3,102,1640,5,0.16,10,5,1,ENUMERATION,0,-1,NONE,821.000001,NOT_UNBOUNDED,OPTIMAL,0-0-0-0-0-0-0-0-0-0,0,0,-1.0,0.0,0.0,9977.0,1.0,1.0,821.0,821.0
